'fang'bian'xing 方便性
'you'xiao'xing 有效性
'ke'kuo'chong'xing 可扩充性
'kai'fang'xing 开放性
'bing'fa'xing 并发性
'gong'xiang'xing 共享性
'xu'ni'xing 虚拟性
'yi'bu'xing 异步性
'pi'chu'li'xi'tong 批处理系统
'fen'shi'xi'tong 分时系统
'shi'shi'xi'tong 实时系统
'jiu'xu'zhuang'tai 就绪状态
'zhi'xing'zhuang'tai 执行状态
'zu'sai'zhuang'tai 阻塞状态
'chu'li'ji'guan'li 处理机管理
'cun'chu'qi'guan'li 存储器管理
'she'bei'guan'li 设备管理
'wen'jian'guan'li 文件管理
'yong'hu'jie'kou 用户接口
'tong'lu 通路
'kong'xian'rang'jin 空闲让进
'mang'ze'deng'dai 忙则等待
'you'xian'deng'dai 有限等待
'rang'quan'deng'dai 让权等待
'hu'chi'tiao'jian 互斥条件
'qing'qiu'he'bao'chi'tiao'jian 请求和保持条件
'bu'bao'duo'tiao'jian 不剥夺条件
'huan'lu'deng'dai'tiao'jian 环路等待条件
'D'C'T DCT
'C'O'C'T COCT
'C'H'C'T CHCT
'S'D'T SDT
'an'ming'cun'qu 按名存取
'ti'gao'jian'suo'su'du 提高检索速度
'wen'jian'gong'xiang 文件共享
'yun'xu'wen'jian'chong'ming 允许文件重名
'W'i'n'd'o'w's Windows
'U'N'I'X UNIX
'L'i'n'u'x Linux
'ren'wei'yin'su 人为因素
'xi'tong'yin'su 系统因素
'zi'ran'yin'su 自然因素
'P'C'B PCB
'F'C'B FCB
'T'C'B TCB
'you'xian'quan'yuan'ze 优先权原则
'duan'jin'cheng'you'xian'yuan'ze 短进程优先原则
'shi'jian'pian'yuan'ze 时间片原则
'shi'jian'ju'xian'xing 时间局限性
'kong'jian'ju'xian'xing 空间局限性
'qing'qiu'fen'ye'ye'biao'ji'zhi 请求分页页表机制
'que'ye'zhong'duan'ji'gou 缺页中断机构
'di'zhi'bian'huan'ji'gou 地址变换机构
'bao'duo'zi'yuan 剥夺资源
'che'xiao'jin'cheng 撤消进程
'xin'hao'liang'ji'zhi 信号量机制
'guan'cheng'ji'zhi 管程机制
'O'S'she'ji'mu'biao OS设计目标
'O'S'she'ji'mu'biao OS设计目标
'O'S'she'ji'mu'biao OS设计目标
'O'S'she'ji'mu'biao OS设计目标
'O'S'ji'ben'te'zheng OS基本特征
'O'S'ji'ben'te'zheng OS基本特征
'O'S'ji'ben'te'zheng OS基本特征
'O'S'ji'ben'te'zheng OS基本特征
'O'S'ji'ben'lei'xing OS基本类型
'O'S'ji'ben'lei'xing OS基本类型
'O'S'ji'ben'lei'xing OS基本类型
'jin'cheng'san'zhong'ji'ben'zhuang'tai 进程三种基本状态
'jin'cheng'san'zhong'ji'ben'zhuang'tai 进程三种基本状态
'jin'cheng'san'zhong'ji'ben'zhuang'tai 进程三种基本状态
'O'S'zhu'yao'gong'neng OS主要功能
'O'S'zhu'yao'gong'neng OS主要功能
'O'S'zhu'yao'gong'neng OS主要功能
'O'S'zhu'yao'gong'neng OS主要功能
'O'S'zhu'yao'gong'neng OS主要功能
'jie'jue'tong'dao'None'ping'jing'None'wen'ti'zui'you'xiao'fang'fa 解决通道“瓶颈”问题最有效方法
'jin'cheng'tong'bu'ji'zhi'ying'zun'xun'de'zhun'ze 进程同步机制应遵循的准则
'jin'cheng'tong'bu'ji'zhi'ying'zun'xun'de'zhun'ze 进程同步机制应遵循的准则
'jin'cheng'tong'bu'ji'zhi'ying'zun'xun'de'zhun'ze 进程同步机制应遵循的准则
'jin'cheng'tong'bu'ji'zhi'ying'zun'xun'de'zhun'ze 进程同步机制应遵循的准则
'chan'sheng'jin'cheng'si'suo'de'bi'yao'tiao'jian 产生进程死锁的必要条件
'chan'sheng'jin'cheng'si'suo'de'bi'yao'tiao'jian 产生进程死锁的必要条件
'chan'sheng'jin'cheng'si'suo'de'bi'yao'tiao'jian 产生进程死锁的必要条件
'chan'sheng'jin'cheng'si'suo'de'bi'yao'tiao'jian 产生进程死锁的必要条件
'she'bei'fen'pei'zhong'de'zhu'yao'shu'ju'jie'gou 设备分配中的主要数据结构
'she'bei'fen'pei'zhong'de'zhu'yao'shu'ju'jie'gou 设备分配中的主要数据结构
'she'bei'fen'pei'zhong'de'zhu'yao'shu'ju'jie'gou 设备分配中的主要数据结构
'she'bei'fen'pei'zhong'de'zhu'yao'shu'ju'jie'gou 设备分配中的主要数据结构
'mu'lu'guan'li'gong'neng 目录管理功能
'mu'lu'guan'li'gong'neng 目录管理功能
'mu'lu'guan'li'gong'neng 目录管理功能
'mu'lu'guan'li'gong'neng 目录管理功能
'mu'qian'bi'jiao'liu'xing'de'cao'zuo'xi'tong 目前比较流行的操作系统
'mu'qian'bi'jiao'liu'xing'de'cao'zuo'xi'tong 目前比较流行的操作系统
